mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,dataset
4.900695371627807,0.4136075125755947,0.14671735763549804,0.047240939891146055,1531,2,1,sqrt,10,"{'model__n_estimators': 1531, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}",0.8151851851851852,0.7875925925925926,0.8353703703703703,0.889245283018868,0.8354716981132075,0.8325730258560446,0.033327311769413705,58,diabetes
4.310507297515869,0.3787391915706578,0.14894042015075684,0.051375949262136476,1611,8,10,sqrt,9,"{'model__n_estimators': 1611, 'model__min_samples_split': 8, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 9}",0.8114814814814815,0.7920370370370371,0.8405555555555556,0.8939622641509434,0.8484905660377359,0.8373053808525507,0.034818877520222516,2,diabetes
3.42641077041626,0.2780966015637429,0.11459460258483886,0.03792903636108894,1271,10,1,0.4,4,"{'model__n_estimators': 1271, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 0.4, 'model__max_depth': 4}",0.817037037037037,0.787962962962963,0.8416666666666666,0.8864150943396226,0.839811320754717,0.8345786163522012,0.03238940644266492,28,diabetes
4.8146265029907225,0.2637879695143781,0.12931232452392577,0.04494910845553256,1571,8,10,0.4,8,"{'model__n_estimators': 1571, 'model__min_samples_split': 8, 'model__min_samples_leaf': 10, 'model__max_features': 0.4, 'model__max_depth': 8}",0.8131481481481482,0.7862962962962963,0.8392592592592593,0.8915094339622641,0.8420754716981131,0.8344577218728162,0.034955982526317896,30,diabetes
1.9857667922973632,0.32058999528175225,0.06100220680236816,0.019233323431546483,761,2,1,sqrt,4,"{'model__n_estimators': 761, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 4}",0.8161111111111111,0.7931481481481482,0.836111111111111,0.8913207547169811,0.8400000000000001,0.8353382250174703,0.03257624172879836,15,diabetes
1.3781041145324706,0.22200967650046302,0.04507336616516113,0.01370797853251686,411,10,2,0.4,5,"{'model__n_estimators': 411, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.4, 'model__max_depth': 5}",0.8181481481481482,0.7931481481481482,0.8396296296296296,0.8881132075471698,0.839811320754717,0.8357700908455625,0.03129917669388469,11,diabetes
1.0133758068084717,0.12771428536015692,0.041383552551269534,0.010419427445918313,341,8,5,0.2,8,"{'model__n_estimators': 341, 'model__min_samples_split': 8, 'model__min_samples_leaf': 5, 'model__max_features': 0.2, 'model__max_depth': 8}",0.8164814814814815,0.8012962962962963,0.8264814814814814,0.8879245283018868,0.8411320754716981,0.8346631726065687,0.029629313563837772,25,diabetes
4.15219292640686,0.35130130002619886,0.1567694664001465,0.04640152791122586,1361,4,8,log2,12,"{'model__n_estimators': 1361, 'model__min_samples_split': 4, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8114814814814815,0.7851851851851852,0.837962962962963,0.8939622641509434,0.8422641509433962,0.8341712089447938,0.0362472002988595,37,diabetes
0.4864495277404785,0.03569877999074073,0.024021196365356445,0.008069778555696565,131,6,5,log2,9,"{'model__n_estimators': 131, 'model__min_samples_split': 6, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 9}",0.8164814814814815,0.7824074074074074,0.832037037037037,0.8869811320754718,0.8449056603773585,0.8325625436757512,0.0343166131952066,60,diabetes
3.0846248149871824,0.2448416581903249,0.13344330787658693,0.0438079936596323,1081,8,10,log2,10,"{'model__n_estimators': 1081, 'model__min_samples_split': 8, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 10}",0.8112962962962963,0.7874074074074074,0.8388888888888888,0.8915094339622641,0.8418867924528302,0.8341977638015372,0.03486995846909149,35,diabetes
0.20171136856079103,0.009085380321657418,0.011767292022705078,0.0003982894820801047,81,7,10,0.4,7,"{'model__n_estimators': 81, 'model__min_samples_split': 7, 'model__min_samples_leaf': 10, 'model__max_features': 0.4, 'model__max_depth': 7}",0.8109259259259259,0.7818518518518518,0.8474074074074075,0.889056603773585,0.8460377358490566,0.8350559049615652,0.03633775681040088,19,diabetes
1.9973642826080322,0.09397349593911651,0.07638401985168457,0.022743760720061512,1011,5,8,0.2,3,"{'model__n_estimators': 1011, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 0.2, 'model__max_depth': 3}",0.807037037037037,0.7777777777777778,0.82,0.8807547169811321,0.8218867924528303,0.8214912648497554,0.033568826983136596,94,diabetes
3.6542943954467773,0.5944862593226774,0.14465150833129883,0.021520848821828614,1361,5,6,0.2,15,"{'model__n_estimators': 1361, 'model__min_samples_split': 5, 'model__min_samples_leaf': 6, 'model__max_features': 0.2, 'model__max_depth': 15}",0.8172222222222223,0.7957407407407406,0.830925925925926,0.889245283018868,0.839433962264151,0.8345136268343815,0.031096510597617418,29,diabetes
4.179462575912476,0.6277825510068321,0.11110396385192871,0.027913674313778277,1251,8,6,0.4,5,"{'model__n_estimators': 1251, 'model__min_samples_split': 8, 'model__min_samples_leaf': 6, 'model__max_features': 0.4, 'model__max_depth': 5}",0.8185185185185185,0.7911111111111111,0.8414814814814814,0.8918867924528302,0.8392452830188679,0.8364486373165618,0.03311652226616626,9,diabetes
