,f1,accuracy,roc_auc,eval_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
0,0.8183341783106697,0.8186714542190305,0.8852437880541114,logloss,100,6,0.3,1.0,1.0,1,0.0,0.0,1.0
1,0.7829759751868703,0.7830459770114943,0.8590453504838815,logloss,50,10,0.05,0.7,0.7,1,0.0,1.0,1.0
2,0.6328702783749119,0.6329022988505747,0.6876569544565002,logloss,50,6,0.05,0.5,0.7,7,0.1,1.0,2.0
3,0.8337002567888374,0.8338721264367817,0.906123817132382,logloss,100,15,0.1,0.9,0.7,3,0.2,0.0,1.0
4,0.7328995437951347,0.7329382183908046,0.8064494798891861,logloss,50,10,0.1,0.9,0.5,7,0.0,1.0,1.0
5,0.6533753187321136,0.6533764367816092,0.7162758868410621,logloss,200,6,0.01,0.5,0.7,5,0.0,0.01,1.0
6,0.8183492387746482,0.8187859195402298,0.8946026633100476,logloss,200,15,0.1,0.7,0.9,5,0.1,0.1,1.0
7,0.7649715948132593,0.7654454022988506,0.8353658064556084,logloss,100,6,0.2,1.0,0.9,3,0.2,0.0,1.5
