f1,accuracy,brier_score,roc_auc,model__n_estimators,model__max_depth,model__min_samples_split,model__min_samples_leaf,model__min_weight_fraction_leaf,model__max_leaf_nodes,model__max_features,model__criterion
0.5628798899386335,0.6895751953125,0.20510515255594064,0.8071156494208621,488,5.0,3,48,0.21052631578947367,16.0,0.38421052631578945,gini
0.5628798899386335,0.6895751953125,0.19563630042210162,0.8200027816824125,8,3.0,39,28,0.02631578947368421,2.0,,gini
0.5628798899386335,0.6895751953125,0.21206701592776075,0.6568602337546022,19,,37,13,0.4473684210526315,27.0,0.38421052631578945,entropy
0.6075644264414715,0.7093994140625,0.17325702456240916,0.884589500318369,988,15.0,53,56,0.0,49.0,0.19473684210526315,entropy
0.5628798899386335,0.6895751953125,0.1997428551164992,0.805542502206864,33,15.0,11,14,0.2631578947368421,7.0,,entropy
0.5628798899386335,0.6895751953125,0.21413341705858496,0.4861788322461035,8,21.0,56,23,0.5,17.0,log2,entropy
0.5628798899386335,0.6895751953125,0.2122123421700727,0.7131543993149654,209,5.0,26,6,0.4473684210526315,19.0,0.8105263157894737,entropy
0.6242116941563598,0.71689453125,0.16937275586258177,0.8812517877147512,858,11.0,47,5,0.02631578947368421,43.0,0.38421052631578945,entropy
0.5628798899386335,0.6895751953125,0.20701064109639988,0.6757343387486341,7,13.0,57,7,0.3157894736842105,18.0,0.9052631578947369,entropy
0.5628798899386335,0.6895751953125,0.1982458401343225,0.7990188025998846,12,21.0,24,14,0.21052631578947367,45.0,0.8578947368421053,gini
0.5628798899386335,0.6895751953125,0.19441259270254246,0.8240411427257159,1508,9.0,36,47,0.18421052631578946,11.0,0.9052631578947369,entropy
0.5652643868325637,0.6906005859375,0.1894742565876474,0.8424016945708536,25,13.0,45,21,0.02631578947368421,15.0,log2,entropy
0.5628798899386335,0.6895751953125,0.2128516467490873,0.6816651000559887,562,15.0,6,14,0.47368421052631576,57.0,0.9526315789473684,entropy
0.5628798899386335,0.6895751953125,0.2116594997153594,0.6780802660168277,16,30.0,27,57,0.3684210526315789,10.0,0.43157894736842106,gini
0.5628798899386335,0.6895751953125,0.20741229677634396,0.7643777722413295,21,15.0,49,38,0.3421052631578947,58.0,0.6684210526315789,entropy
