age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,blue-collar,single,secondary,no,290,yes,no,cellular,5,may,128,1,336,1,other,no
51,management,married,tertiary,no,19313,no,no,telephone,21,nov,36,1,-1,0,unknown,no
47,admin.,married,secondary,no,257,yes,no,unknown,15,may,484,11,-1,0,unknown,no
44,technician,single,secondary,no,1548,yes,no,cellular,21,nov,62,6,-1,0,unknown,no
36,management,married,tertiary,no,1100,yes,no,cellular,18,nov,93,1,-1,0,unknown,no
35,admin.,married,secondary,no,0,no,no,cellular,7,jul,78,11,-1,0,unknown,no
39,technician,married,secondary,no,0,yes,yes,cellular,21,nov,83,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-271,yes,yes,unknown,26,may,118,2,-1,0,unknown,no
39,management,married,tertiary,no,942,yes,no,cellular,13,may,564,2,265,4,other,no
33,technician,divorced,secondary,yes,-305,no,yes,unknown,9,may,109,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,58932,no,no,telephone,7,jul,339,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,1507,yes,yes,cellular,19,nov,255,6,189,1,other,no
38,entrepreneur,married,primary,no,1390,yes,no,cellular,5,may,106,4,-1,0,unknown,no
30,technician,married,secondary,no,239,yes,no,cellular,21,nov,302,2,95,8,failure,no
25,services,single,secondary,no,-61,yes,no,unknown,21,may,203,2,-1,0,unknown,no
25,technician,single,secondary,no,50,yes,no,cellular,8,may,191,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,-441,yes,no,cellular,6,may,151,1,-1,0,unknown,no
24,blue-collar,single,secondary,no,-438,yes,no,unknown,27,may,410,1,-1,0,unknown,no
30,self-employed,single,secondary,no,4011,yes,no,unknown,20,may,62,1,-1,0,unknown,no
45,admin.,single,primary,no,1811,no,no,telephone,31,jul,50,7,-1,0,unknown,no
56,blue-collar,married,secondary,no,25,yes,no,unknown,19,may,264,1,-1,0,unknown,no
41,admin.,married,secondary,no,3279,yes,no,unknown,29,may,186,1,-1,0,unknown,no
