Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
13220,89179,Female,Loyal Customer,35,Personal Travel,Eco,2139,1,4,2,3,3,2,3,3,5,4,4,4,5,3,0,0.0,neutral or dissatisfied
8023,58403,Male,Loyal Customer,24,Business travel,Business,3996,2,2,2,2,4,4,4,4,5,4,4,4,4,4,0,0.0,satisfied
1402,61539,Female,Loyal Customer,14,Personal Travel,Eco,2358,1,4,1,5,3,1,3,3,4,4,3,3,5,3,0,0.0,neutral or dissatisfied
13543,48226,Female,Loyal Customer,30,Personal Travel,Eco,192,3,4,3,5,4,3,4,4,5,3,5,4,5,4,30,20.0,neutral or dissatisfied
8861,7113,Female,Loyal Customer,58,Personal Travel,Eco,273,3,5,3,3,1,4,2,2,2,3,2,5,2,3,0,0.0,neutral or dissatisfied
6862,4862,Female,Loyal Customer,43,Personal Travel,Eco,408,1,2,1,3,3,4,3,3,3,1,3,3,3,4,0,0.0,neutral or dissatisfied
804,45221,Male,Loyal Customer,24,Business travel,Business,3090,3,1,1,1,3,3,3,3,1,1,1,5,1,3,10,4.0,neutral or dissatisfied
546,6332,Male,disloyal Customer,27,Business travel,Business,296,5,5,5,3,2,5,2,2,4,3,5,4,5,2,28,51.0,satisfied
17675,125363,Female,Loyal Customer,41,Personal Travel,Eco,599,3,4,3,1,4,3,4,4,4,4,4,5,4,4,56,86.0,neutral or dissatisfied
15184,123233,Female,Loyal Customer,43,Personal Travel,Eco,600,2,2,2,1,2,2,2,5,5,2,5,3,5,2,0,0.0,neutral or dissatisfied
6574,58987,Male,disloyal Customer,48,Business travel,Business,1744,5,5,5,2,5,5,5,5,5,2,4,4,5,5,5,29.0,satisfied
17208,92221,Male,Loyal Customer,33,Personal Travel,Eco,1956,3,4,3,3,4,3,4,4,1,4,3,4,4,4,0,0.0,neutral or dissatisfied
23054,73533,Male,Loyal Customer,25,Business travel,Business,594,2,2,2,2,3,3,3,3,3,5,4,5,4,3,0,0.0,satisfied
13103,73931,Male,Loyal Customer,32,Business travel,Eco,2342,3,1,1,1,3,3,3,4,2,2,3,3,2,3,0,22.0,neutral or dissatisfied
11554,66397,Female,Loyal Customer,59,Business travel,Eco,1562,1,4,4,4,4,4,3,1,1,1,1,2,1,1,14,19.0,neutral or dissatisfied
13534,66873,Male,Loyal Customer,25,Personal Travel,Eco Plus,731,4,1,4,3,2,4,2,2,1,1,3,1,3,2,5,0.0,satisfied
10413,28862,Male,Loyal Customer,53,Business travel,Eco,956,4,4,3,4,4,4,4,4,4,2,1,1,2,4,0,0.0,satisfied
4429,115414,Female,disloyal Customer,44,Business travel,Business,447,5,0,0,1,1,5,1,1,5,4,4,4,4,1,8,15.0,satisfied
24730,65625,Female,Loyal Customer,57,Personal Travel,Eco,175,3,4,3,4,5,4,5,1,1,3,1,5,1,4,14,14.0,neutral or dissatisfied
14526,48633,Female,Loyal Customer,58,Business travel,Business,262,0,1,1,4,5,4,4,4,4,4,4,5,4,4,0,0.0,satisfied
21624,72919,Female,disloyal Customer,28,Business travel,Business,1096,2,3,3,3,5,3,5,5,3,4,4,4,4,5,0,0.0,neutral or dissatisfied
6176,47790,Female,Loyal Customer,43,Business travel,Business,2512,2,4,4,4,4,3,4,2,2,2,2,4,2,4,0,0.0,neutral or dissatisfied
1094,63601,Male,Loyal Customer,29,Business travel,Business,1440,5,5,5,5,4,4,4,4,5,2,5,5,5,4,8,9.0,satisfied
16236,37849,Female,disloyal Customer,27,Business travel,Eco,937,4,3,3,2,2,3,2,2,3,2,1,5,5,2,0,0.0,satisfied
4024,70257,Female,Loyal Customer,22,Personal Travel,Eco,1592,1,5,1,5,4,1,4,4,3,5,3,5,5,4,2,0.0,neutral or dissatisfied
8156,62432,Male,Loyal Customer,11,Personal Travel,Eco,1911,1,4,1,3,4,1,4,4,4,2,5,3,4,4,26,17.0,neutral or dissatisfied
20232,113827,Female,Loyal Customer,16,Personal Travel,Eco Plus,397,1,3,1,2,4,1,3,4,3,2,1,2,2,4,0,0.0,neutral or dissatisfied
24990,18533,Male,Loyal Customer,57,Business travel,Eco,192,5,1,1,1,5,5,5,5,1,5,1,2,5,5,13,12.0,satisfied
2686,110869,Male,disloyal Customer,25,Business travel,Business,545,4,0,4,3,1,4,1,1,3,4,5,5,5,1,73,74.0,neutral or dissatisfied
5370,43264,Female,Loyal Customer,43,Business travel,Eco,436,5,4,4,4,2,4,2,5,5,5,5,3,5,5,0,0.0,satisfied
14670,16422,Male,Loyal Customer,44,Business travel,Business,445,3,3,3,3,4,3,3,4,4,4,4,4,4,2,0,0.0,satisfied
4222,129652,Male,Loyal Customer,50,Business travel,Business,1967,5,5,3,5,2,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
529,93772,Male,Loyal Customer,38,Personal Travel,Eco Plus,368,4,3,3,3,2,3,2,2,1,3,4,4,3,2,0,0.0,neutral or dissatisfied
8364,76879,Male,Loyal Customer,48,Business travel,Business,630,1,1,5,1,2,4,4,5,5,5,5,5,5,3,1,0.0,satisfied
24669,114481,Female,Loyal Customer,56,Business travel,Business,337,2,2,2,2,3,3,3,2,2,3,2,3,2,1,0,5.0,neutral or dissatisfied
16164,64272,Male,Loyal Customer,57,Business travel,Business,1192,2,2,2,2,5,4,4,3,3,3,3,5,3,3,0,0.0,satisfied
20901,120980,Female,disloyal Customer,15,Business travel,Eco,951,3,3,3,4,4,3,5,4,4,5,5,4,5,4,1,0.0,neutral or dissatisfied
18017,24216,Female,disloyal Customer,32,Business travel,Eco,170,3,4,3,3,1,3,1,1,1,5,4,2,4,1,0,0.0,neutral or dissatisfied
25967,90347,Female,disloyal Customer,39,Business travel,Business,404,1,1,1,3,2,1,2,2,5,3,4,4,4,2,0,0.0,neutral or dissatisfied
2580,516,Male,Loyal Customer,57,Business travel,Business,247,5,5,5,5,4,5,5,3,3,4,3,3,3,4,0,0.0,satisfied
2613,103901,Female,Loyal Customer,22,Business travel,Eco Plus,882,3,5,5,5,3,3,2,3,2,4,3,4,3,3,42,46.0,neutral or dissatisfied
6442,24389,Male,Loyal Customer,63,Personal Travel,Eco,669,4,4,4,2,2,4,2,2,4,3,5,5,4,2,2,5.0,satisfied
9088,17381,Male,disloyal Customer,20,Business travel,Eco,637,4,0,4,2,4,4,4,4,4,4,4,3,4,4,0,0.0,neutral or dissatisfied
18458,43845,Male,Loyal Customer,48,Business travel,Eco,174,4,4,4,4,4,4,4,4,5,3,4,3,4,4,0,30.0,satisfied
20466,69503,Male,Loyal Customer,65,Personal Travel,Eco Plus,1096,4,1,4,3,4,4,4,4,2,2,1,2,3,4,15,33.0,neutral or dissatisfied
12615,96175,Female,Loyal Customer,28,Business travel,Business,3572,2,2,5,2,2,2,2,2,3,1,4,4,3,2,31,30.0,neutral or dissatisfied
7470,107387,Male,Loyal Customer,35,Business travel,Business,717,4,4,4,4,4,4,4,2,2,2,2,5,2,5,36,38.0,satisfied
3472,96582,Male,disloyal Customer,33,Business travel,Business,333,2,2,2,4,2,2,2,2,4,5,4,5,4,2,115,102.0,neutral or dissatisfied
