Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,15,1,6,1,14,1,23,27,10,5,1,0,0,1,1,1,22,0,0,6,9,6,13.428571428571429,0,1,6,12,6,13.625,0,12.4,0.5,1.79,1
1,1,1,2,1,1,14,1,1,10,8,1,0,0,0,0,0,19,1,6,12,12,12,15.25,0,4,11,12,11,15.0,0,8.9,1.4,3.51,1
1,12,1,11,1,12,1,3,14,3,4,0,0,0,1,0,1,36,0,0,6,7,6,13.714285714285714,0,0,6,6,5,12.8,0,16.2,0.3,-0.92,0
4,14,4,17,0,9,1,22,27,10,10,0,0,0,0,0,0,40,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
1,8,5,7,1,1,4,4,10,3,10,1,0,0,1,1,0,20,1,0,5,5,5,14.8,0,0,5,5,5,17.6,0,8.9,1.4,3.51,1
1,1,2,15,1,1,1,13,14,10,10,0,0,0,1,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,0
1,1,1,2,1,1,1,13,14,2,2,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
1,8,3,9,1,1,1,13,28,6,8,1,0,0,1,0,1,18,0,0,5,5,5,13.4,0,0,5,6,5,12.2,0,12.7,3.7,-1.7,1
1,15,1,4,1,14,1,22,27,10,5,0,0,0,1,1,0,20,0,0,6,12,3,11.5,0,0,6,12,3,13.666666666666666,0,12.4,0.5,1.79,0
1,7,2,10,1,1,1,13,27,10,8,1,0,0,1,0,1,19,0,0,6,8,4,11.25,0,0,6,6,6,12.0,0,10.8,1.4,1.74,1
1,1,2,13,1,1,1,13,14,10,10,1,0,0,1,0,0,21,0,0,2,2,2,12.5,0,0,7,0,0,0.0,0,12.4,0.5,1.79,0
1,12,1,13,1,1,1,23,28,29,44,0,0,1,1,0,1,24,0,0,7,13,7,11.0,0,0,8,13,7,11.7,0,12.7,3.7,-1.7,1
2,14,1,10,1,9,1,22,27,10,10,0,0,0,1,0,0,34,0,9,16,20,14,12.071428571428571,1,11,13,13,11,12.272727272727272,0,7.6,2.6,0.32,1
1,8,4,12,1,1,1,1,1,5,10,1,0,0,1,0,0,18,0,0,7,7,6,12.766666666666666,0,0,7,7,6,12.766666666666666,0,7.6,2.6,0.32,1
5,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,1,37,0,0,5,8,5,13.0,0,0,5,11,4,13.333333333333334,2,16.2,0.3,-0.92,0
1,8,1,15,1,1,1,22,27,1,5,1,0,0,1,1,0,19,0,0,6,12,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,0
1,8,2,12,1,1,1,13,27,10,8,1,0,0,1,0,1,20,0,0,8,8,7,12.464285714285714,0,0,8,8,7,12.464285714285714,0,10.8,1.4,1.74,1
2,12,1,7,1,1,1,22,27,12,6,1,0,0,1,1,0,46,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
1,1,1,15,1,1,1,22,27,10,8,0,0,0,1,0,1,18,0,0,6,6,6,14.5,0,0,6,6,6,14.666666666666666,0,16.2,0.3,-0.92,1
1,8,1,5,1,1,1,22,28,10,8,0,0,0,1,1,1,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,12.0,0,12.4,0.5,1.79,1
1,1,1,2,1,1,1,1,3,5,5,1,0,0,1,0,1,19,0,6,12,12,12,13.666666666666666,0,4,11,12,11,14.166666666666666,0,8.9,1.4,3.51,1
1,12,1,12,1,1,1,23,3,10,2,0,0,0,1,1,0,24,0,0,7,11,7,11.294444444444444,0,0,8,22,2,12.6,0,15.5,2.8,-4.06,1
2,14,1,4,1,1,1,22,27,10,8,0,0,0,1,1,0,41,0,18,19,19,19,12.68421052631579,0,12,13,13,13,12.384615384615383,0,15.5,2.8,-4.06,1
1,7,1,4,1,1,1,1,27,5,10,1,0,1,1,0,1,20,0,13,18,19,18,15.052631578947368,0,11,13,13,13,14.538461538461538,0,15.5,2.8,-4.06,1
1,1,1,6,1,1,1,1,1,10,10,1,0,0,1,0,0,19,0,0,6,13,6,15.23076923076923,0,0,6,10,6,12.375,0,15.5,2.8,-4.06,1
1,1,2,5,1,1,1,23,28,10,8,1,0,0,1,0,0,18,0,0,6,7,6,14.166666666666666,0,0,6,7,6,14.857142857142858,0,9.4,-0.8,-3.12,1
1,9,2,7,1,1,1,1,2,6,5,1,0,0,1,1,0,18,0,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,0
1,13,1,7,1,1,1,13,27,10,4,0,0,1,1,1,0,25,0,0,5,5,0,0.0,0,2,6,7,2,14.0,0,13.9,-0.3,0.79,0
1,8,3,15,1,1,1,19,24,13,13,1,0,1,1,0,1,19,0,0,6,8,6,12.166666666666666,0,0,6,8,5,12.4,0,9.4,-0.8,-3.12,0
1,1,1,10,1,1,1,13,14,10,10,0,0,0,1,0,1,18,0,0,6,8,6,13.5,0,0,6,9,6,12.833333333333334,0,11.1,0.6,2.02,1
1,1,2,10,1,1,1,13,28,10,9,1,0,0,1,0,1,19,0,0,6,8,6,12.714285714285714,0,0,6,12,5,11.0,0,13.9,-0.3,0.79,0
1,13,1,12,1,1,1,22,27,4,4,1,0,0,1,0,1,21,0,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,1
1,15,1,4,1,14,1,13,14,10,5,0,0,0,1,0,0,21,0,0,6,12,3,10.666666666666666,2,0,6,12,4,12.0,0,15.5,2.8,-4.06,0
1,14,1,5,1,14,1,13,27,6,10,1,0,0,1,0,1,21,0,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,1
2,12,1,17,0,12,1,22,27,10,10,0,0,0,1,0,0,47,0,0,5,5,5,14.8,0,0,5,5,5,14.4,0,7.6,2.6,0.32,1
1,1,1,13,1,1,1,22,28,8,10,0,0,0,1,0,1,20,0,0,7,14,7,10.642857142857142,0,0,8,8,8,11.55,0,12.7,3.7,-1.7,1
1,12,1,14,1,1,1,23,14,10,9,0,0,1,0,1,0,25,0,0,6,7,3,14.0,0,0,6,9,2,14.5,0,13.9,-0.3,0.79,0
1,15,1,10,1,14,1,23,27,8,8,0,0,0,1,0,0,19,0,3,6,6,6,13.333333333333334,0,2,6,6,6,14.666666666666666,0,13.9,-0.3,0.79,1
1,14,1,8,1,1,1,2,1,3,4,1,0,0,1,0,0,22,0,0,5,11,4,12.25,0,0,5,9,5,13.285714285714286,0,12.7,3.7,-1.7,1
1,12,1,14,1,9,1,1,14,2,6,1,0,1,0,0,0,25,0,0,5,5,5,11.2,0,0,5,5,4,11.25,0,9.4,-0.8,-3.12,0
1,8,6,12,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,7,7,7,13.642857142857142,0,0,8,8,8,14.3875,0,13.9,-0.3,0.79,0
1,12,1,17,0,1,1,3,1,4,4,0,0,0,1,1,0,28,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,0
1,6,1,16,1,1,14,28,1,25,26,0,0,0,1,0,0,23,1,11,16,17,16,14.625,0,6,10,12,9,14.88888888888889,0,8.9,1.4,3.51,1
1,1,5,12,1,1,1,3,1,6,11,1,0,0,1,0,0,20,0,0,7,7,7,14.30714285714286,0,0,8,8,8,15.0125,0,12.4,0.5,1.79,1
2,12,1,17,0,1,1,22,27,7,4,0,0,1,1,1,0,37,0,0,5,10,4,10.75,0,0,5,12,3,13.333333333333334,0,9.4,-0.8,-3.12,0
2,12,1,17,0,7,1,19,24,1,1,0,0,0,0,0,0,39,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,0
1,1,5,2,1,1,1,1,1,5,5,0,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,0
