model__weights,model__n_neighbors,model__metric,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
distance,20,chebyshev,0.644019011583928,0.7792710584617073,0.5957618584869021,0.96,0.7447629821331343
distance,9,euclidean,0.8278443906967821,0.8328597025548247,0.64376042639139,0.993103448275862,0.8243919919797147
uniform,20,euclidean,0.8342511143690672,0.7959512045802696,0.6010638356295315,0.993103448275862,0.8060924007136827
distance,20,minkowski,0.8307159075451759,0.8236311588244003,0.6376325091738572,0.993103448275862,0.8212707559548238
uniform,21,chebyshev,0.6158391959798994,0.6137577763107839,0.5804524905686177,0.9578093306288032,0.6919646983720261
distance,4,minkowski,0.8174165290645015,0.8488430936437437,0.6179124390391044,0.9894736842105264,0.8184114364894689
uniform,13,manhattan,0.8407746378925907,0.8327286847257908,0.6346045932270366,0.993103448275862,0.82530284103032
distance,10,euclidean,0.828136058372422,0.8248297702995406,0.6351038815508853,0.993103448275862,0.8202932896246775
distance,7,minkowski,0.8305425076994943,0.8382793164053328,0.6297636662184631,0.9894736842105264,0.8220147936334542
distance,7,euclidean,0.8305425076994943,0.8382793164053328,0.6297636662184631,0.9894736842105264,0.8220147936334542
uniform,8,manhattan,0.8241747947112088,0.7961522762153613,0.5950360615352197,0.993103448275862,0.8021166451844131
distance,19,minkowski,0.8287752682757695,0.825962232215516,0.6431781411559301,0.993103448275862,0.8227547724807696
uniform,5,chebyshev,0.663711494764281,0.8080905522649479,0.6098679447570063,0.9518233522917363,0.7583733360194929
uniform,4,chebyshev,0.6911330389736423,0.8028923894629157,0.5224965734078937,0.932463768115942,0.7372464424900984
distance,15,minkowski,0.8283243404678945,0.8227246811060092,0.6345240372640266,0.993103448275862,0.8196691267784482
distance,13,minkowski,0.8298224098632213,0.823598336006997,0.6334862736314889,0.993103448275862,0.8200026169443924
uniform,25,chebyshev,0.6158391959798994,0.5726410651324525,0.5889172202605383,0.9632985234277649,0.6851740012001637
distance,14,manhattan,0.8282629347964627,0.8202695384057146,0.6445374656897707,0.993103448275862,0.8215433467919526
uniform,2,chebyshev,0.6883656225648435,0.7963089307834958,0.47386024139200184,0.928960943257185,0.7218739344993815
uniform,9,chebyshev,0.6237907235059778,0.780660132288319,0.6172026895864728,0.96,0.7454133863451924
uniform,14,minkowski,0.8351716534356106,0.8128968867041599,0.5855548263516146,0.993103448275862,0.8066817036918119
distance,13,chebyshev,0.6649627987026487,0.7989976727026513,0.5896550997827861,0.96,0.7534038927970215
uniform,28,euclidean,0.8269645492475762,0.7772350935036109,0.6159625175172512,0.9894736842105264,0.8024089611197411
uniform,3,manhattan,0.8385078114920012,0.8422663712345685,0.5935705931495405,0.9894736842105264,0.8159546150216591
uniform,13,chebyshev,0.6168048625268736,0.7137645261500536,0.598129133575627,0.9335849056603773,0.7155708569782329
uniform,27,chebyshev,0.6158391959798994,0.5877128022697197,0.5991826625386997,0.9668052446434283,0.6923849763579368
uniform,22,chebyshev,0.6158391959798994,0.5782755148559237,0.5952434676174765,0.9589443869981569,0.687075641362864
distance,15,manhattan,0.8325792374004365,0.8239751528938826,0.6348602453487737,0.993103448275862,0.8211295209797387
distance,1,manhattan,0.7762646727695721,0.8319526665443535,0.5664042717440776,0.9894736842105264,0.7910238238171324
uniform,30,manhattan,0.8369387218089935,0.7855206701858156,0.6139547630303885,0.9818181818181818,0.804558084210845
distance,25,euclidean,0.8400752665045348,0.8189557200356423,0.6294204380746977,0.993103448275862,0.8203887182226843
uniform,4,euclidean,0.8101875261403908,0.8093467600798283,0.5744506069848697,0.9894736842105264,0.7958646443539038
uniform,19,manhattan,0.8372453423632951,0.8041778357402304,0.6248510008654463,0.9894736842105264,0.8139369657948745
distance,6,euclidean,0.8265811918475853,0.8436682338795507,0.6278993121041594,0.9894736842105264,0.8219056055104553
distance,18,chebyshev,0.6482403293883519,0.7842840100738451,0.6031458874802529,0.96,0.7489175567356124
distance,11,euclidean,0.8310298401104642,0.8259548775604848,0.6426448955575169,0.993103448275862,0.823183265376082
distance,27,euclidean,0.8375080139372824,0.8178696063238993,0.6386109136153573,0.993103448275862,0.8217729955381003
uniform,30,euclidean,0.8282920193166872,0.7790273635299814,0.6020190244929655,0.9894736842105264,0.79970302288754
uniform,27,euclidean,0.8410735652234574,0.7783316383333447,0.6364646758793527,0.9894736842105264,0.8113358909116702
distance,16,chebyshev,0.6511743234441085,0.7823398036269323,0.6057058993543627,0.9692307692307693,0.7521126989140432
distance,5,minkowski,0.822957887637189,0.8422646906507832,0.600120810941199,0.9894736842105264,0.8137042683599244
uniform,16,euclidean,0.8300468265933507,0.8093338469416305,0.6070439780109944,0.993103448275862,0.8098820249554595
uniform,11,chebyshev,0.6186750985315236,0.7622710930351072,0.6120836599689612,0.96,0.738257462883898
uniform,7,euclidean,0.8385346219550132,0.8146767204185416,0.6321063526587742,0.9894736842105264,0.8186978448107137
uniform,5,minkowski,0.829706276768572,0.8274957090785973,0.6034495400123882,0.9894736842105264,0.8125313025175209
uniform,27,manhattan,0.8376545107487555,0.7817783325155906,0.6251010445872174,0.9857142857142858,0.8075620433914623
distance,9,chebyshev,0.6810110104351227,0.821661402342232,0.6083064170439695,0.96,0.767744707455331
uniform,3,euclidean,0.8399606801013754,0.8451496931440531,0.619668352400071,0.9894736842105264,0.8235631024640064
uniform,15,chebyshev,0.6149089806309916,0.7031936332014915,0.6006910218478192,0.9377777777777778,0.71414285336452
distance,2,minkowski,0.7804743845369604,0.8332911319260761,0.5744739149896587,0.9857142857142858,0.7934884292917452
uniform,22,minkowski,0.8319430493166843,0.7872737352737353,0.6198569702898389,0.993103448275862,0.8080443007890301
distance,19,manhattan,0.8336154528585142,0.8235412333969654,0.641261912732954,0.9894736842105264,0.82197307079974
distance,20,manhattan,0.8386738655031337,0.8200767892615369,0.6570802095220146,0.9894736842105264,0.8263261371243029
distance,17,manhattan,0.8358904632786356,0.8227272596388533,0.6296780942930124,0.993103448275862,0.8203498163715908
uniform,26,chebyshev,0.6158391959798994,0.535090538147122,0.5888760149577977,0.9668052446434283,0.6766527484320619
distance,25,minkowski,0.8400752665045348,0.8189557200356423,0.6294204380746977,0.993103448275862,0.8203887182226843
uniform,23,chebyshev,0.6158391959798994,0.5991407481607155,0.5988714040111038,0.9668052446434283,0.6951641481987868
distance,30,euclidean,0.8367252354571587,0.8125039170469274,0.6287957221243173,0.9894736842105264,0.8168746397097324
distance,3,manhattan,0.8173662102171904,0.8451139617488608,0.5890606481634257,0.9894736842105264,0.8102536260850007
uniform,20,minkowski,0.8342511143690672,0.7959512045802696,0.6010638356295315,0.993103448275862,0.8060924007136827
distance,12,chebyshev,0.6687267784757639,0.8005871547949608,0.6122775523206788,0.96,0.7603978713978509
distance,19,chebyshev,0.6454135751779801,0.7859163406052831,0.5945684179363402,0.9647058823529411,0.7476510540181363
uniform,23,manhattan,0.8355869877484935,0.798325948569851,0.6083635836049187,0.9857142857142858,0.8069977014093872
distance,12,manhattan,0.8293489615982285,0.8241324636048406,0.6294541616793442,0.993103448275862,0.8190097587895688
uniform,29,euclidean,0.8295470950194674,0.7880583044393469,0.618304803539951,0.9894736842105264,0.8063459718023228
distance,28,manhattan,0.8406191653900994,0.8109839668548471,0.6323968762762837,0.9894736842105264,0.8183684231829391
uniform,28,minkowski,0.8269645492475762,0.7772350935036109,0.6159625175172512,0.9894736842105264,0.8024089611197411
distance,22,manhattan,0.8388615168718875,0.8207207206473998,0.6443427119225695,0.9894736842105264,0.8233496584130958
distance,11,manhattan,0.823913985462446,0.8243674596234717,0.6507404969156121,0.993103448275862,0.823031347569348
distance,30,minkowski,0.8367252354571587,0.8125039170469274,0.6287957221243173,0.9894736842105264,0.8168746397097324
