dataset,model,tuning_method,iteration,metric_0,metric_1,metric_accuracy,metric_macro avg,metric_weighted avg
breast_cancer,xgboost,grid_search,1,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,2,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,3,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,4,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,5,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,6,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,7,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,1,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,2,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,3,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,4,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,5,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,6,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,7,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,8,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,9,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,10,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,11,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
breast_cancer,xgboost,grid_search,12,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 212.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 357.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 569.0}"
